AnoHecho;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;ActorVial;TipoVehiculoGrupo;ObjetoColision;CondicionVictima;DiaOcurrencia;Rango3horas;ConteoRegistros
2022.0;76233.0;Valle Del Cauca;Dagua;Rural;Hombre;16.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;4.Jueves;15:00 a 17:59;1.0
2022.0;54001.0;Norte Santander;Cucuta;Urbana;Hombre;53.0;Peatón;Peatón;;Motocicleta;Peatón;6.Sábado;18:00 a 20:59;
2017.0;5030.0;Antioquia;Amaga;Rural;Hombre;26.0;usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;18:00 a 20:59;1.0
2016.0;44874.0;La Guajira;Villanueva;Rural;Hombre;65.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;6.Sábado;15:00 a 17:59;1.0
2020.0;13001.0;Bolivar;Cartagena;Urbana;Hombre;35.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductr;7.Domingo;;1.0
2025.0;20013.0;Cesar;Agustin Codazzi;Urbana;Hombre;32.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;7.Domingo;;1.0
2022.0;66088.0;Risaralda;Belen Umbria;Rural;Hombre;17.0;Usuario de moto;Usuario de moto;;Transporte individual;Conductor;1.Lunes;00:00 a 02:59;1.0
2023.0;23001.0;Cordoba;Monteria;Urbana;Hombre;46.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Conductor;1.Lunes;12:00 a 14:59;1.0
2024.0;20001.0;Cesar;Valledupar;Urbana;Hombre;59.0;Peatón;Peatón;No Aplica;Transporte de carga;Peatón;5.Viernes;09:00 a 11:59;1.0
2022.0;73001.0;Tolima;Ibague;Urbana;Hombre;22.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Objeto fijo;Pasajero;5.Viernes;00:00 a 02:59;1.0
2017.0;76616.0;Valle Del Cauca;Riofrio;Rural;Mujer;9.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Transporte de carga;Pasajero;2.Martes;;1.0
2018.0;47001.0;Magdalena;Santa Marta;Urbana;Hombre;25.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;1.Lunes;;1.0
2024.0;76670.0;Valle Del Cauca;San Pedro;Urbana;Hombre;24.0;Peatón;Peatón;No Aplica;Transporte de pasajeros;Peatón;1.Lunes;00:00 a 02:59;1.0
2022.0;19130.0;Cauca;Cajibio;Rural;Mujer;30.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;;Pasajero;2.Martes;06:00 a 08:59;1.0
2024.0;20517.0;Cesar;Pailitas;Rural;Hombre;53.0;Peatón;Peatón;No Aplica;Otros;Peatón;7.Domingo;03:00 a 05:59;1.0
2018.0;5360.0;Antioquia;Itagui;Urbana;Hombre;80.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;5.Viernes;;1.0
2018.0;5088.0;Antioquia;Bello;Rural;Hombre;37.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;1.Lunes;06:00 a 08:59;1.0
2018.0;76001.0;Valle Del Cauca;Cali;Urbana;Mujer;23.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;6.Sábado;;1.0
2016.0;5001.0;Antioquia;Medellin;Urbana;Hombre;23.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;1.Lunes;00:00 a 02:59;1.0
2025.0;15106.0;Boyaca;;Rural;Hombre;23.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;1.Lunes;;1.0
