FechaVersion;AnoHecho;MesOCurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;TipoVehiculoGrupo;ObjetoColision;ConteoRegistros
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;26.0;Usuario de V.Individual;Transporte Individual;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;27.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;27.0;Usuario de moto;Motocicleta;Transporte individual;2.0
2024-08-31;2024.0;01.Enero;11001.0;;Bogota;Urbana;Hombre;28.0;Usuario de moto;Motocicleta;Transporte de pasajeros;
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;  Urbana  ;Hombre;29.0;Usuario de V.Individual;Transporte Individual;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;31.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;32.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;35.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;36.0;Peatón;No Aplica;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;36.0;usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;37.0;Usuario de oto;Motocicleta;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;38.0;Usuario de V.Individual;Transporte Individual;;1.0
2024-08-31;2024.0;;11001.0;Bogota Dc;Bogota;Urbana;Hombre;41.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;47.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;48.0;Usuario  de  V.Individual;Transporte Individual;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;49.0;Peatón;No Aplica;Transporte individual;2.0
2024-08-31;2024.0;01.Enero;;Bogota Dc;Bogota;Urbana;Hombre;49.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;60.0;Usuario de bicicleta;Bicicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;61.0;Peatón;No Aplica;Motocicleta;1.0
;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;61.0;Peatón;No Aplica;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Boota;Urbana;Hombre;64.0;Usuario de V.Individual;Transporte Individual;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;65.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;67.0;Usuario de bicicleta;  Bicicleta  ;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;68.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;68.0;Usuario de bicicleta;Bicicleta;Motocicleta; 1.0 
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;69.0;Peatón;No Aplica;Bicicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;69.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;75.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;83.0;Peatón;No Aplica;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;84.0;Peatón;No Aplica;Motoccleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;84.0;Peatón;No Aplica;Transporte individual;2.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;86.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Hombre;88.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Mujer;18.0;Usuario de bicicleta;Bicicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;mujer;19.0;Usuario de bicicleta;Bicicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Mujer;24.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Mujer;25.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;11001.0;Bogota Dc;Bogota;Urbana;Mujer;25.0;Usuario de moto;Motocicleta;Transporte individual;1.0
